nbrdesc,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,live_trees
abell,2.79,60.47,36.74,12,260,158,430
allendale,9.52,37.23,53.25,22,86,123,231
arcadia,4.31,18.27,77.41,17,72,305,394
arlington,36.73,48.3,14.97,54,71,22,147
armistead gardens,6.78,40.68,52.54,4,24,31,59
ashburton,11.24,22.47,66.29,99,198,584,881
baltimore highlands,5.6,19.22,75.18,23,79,309,411
barclay,8.15,27.61,64.23,57,193,449,699
barre circle,1.25,10,88.75,3,24,213,240
bayview,6.57,45.07,48.36,14,96,103,213
beechfield,8.59,31.25,60.16,11,40,77,128
belair-edison,11.04,23.78,65.17,143,308,844,1295
belair-parkside,50,25,25,4,2,2,8
bellona-gittings,5.14,26.86,68,9,47,119,175
belvedere,3.65,20.44,75.91,5,28,104,137
berea,3.53,18.94,77.53,22,118,483,623
better waverly,16.21,32.6,51.18,89,179,281,549
beverly hills,3.93,13.27,82.8,16,54,337,407
biddle street,3.31,22.06,74.63,9,60,203,272
blythewood,NA,20,80,NA,4,16,20
bolton hill,4.13,15.9,79.97,61,235,1182,1478
boyd-booth,9.82,26.79,63.39,11,30,71,112
brewers hill,2.29,23.66,74.05,9,93,291,393
bridgeview/greenlawn,6.67,30.56,62.78,12,55,113,180
broadway east,14.77,31.61,53.63,57,122,207,386
broening manor,3.92,33.33,62.75,4,34,64,102
brooklyn,11.02,25.01,63.97,218,495,1266,1979
burleith-leighton,13.95,38.37,47.67,12,33,41,86
butcher's hill,3.75,20.48,75.77,22,120,444,586
callaway-garrison,25.83,25,49.17,62,60,118,240
cameron village,9.78,25,65.22,9,23,60,92
canton,6.84,31.47,61.69,192,884,1733,2809
canton industrial area,6.31,31.98,61.71,14,71,137,222
care,7.54,31.91,60.55,30,127,241,398
carroll - camden industrial area,3,18.17,78.83,21,127,551,699
carroll park,5.34,14.62,80.05,46,126,690,862
carroll-south hilton,1.58,18.68,79.74,6,71,303,380
carrollton ridge,5.09,25.05,69.86,25,123,343,491
cedarcroft,8.82,25,66.18,30,85,225,340
cedmont,14.35,35.43,50.22,32,79,112,223
cedonia,4.82,25,70.18,16,83,233,332
central forest park,16.67,26.67,56.67,15,24,51,90
central park heights,23.32,38.03,38.65,149,243,247,639
charles north,10.98,23.12,65.9,38,80,228,346
charles village,4.98,39.76,55.26,70,559,777,1406
cherry hill,7.21,28.37,64.42,30,118,268,416
cheswolde,13.66,33.43,52.91,94,230,364,688
chinquapin park,3.53,32.94,63.53,6,56,108,170
clifton park,4.88,34.62,60.5,78,554,968,1600
coldspring,5.52,18.56,75.93,55,185,757,997
coldstream homestead montebello,13.98,45.3,40.72,116,376,338,830
concerned citizens of forest park,15.28,38.89,45.83,11,28,33,72
coppin heights/ash-co-east,7.47,24.58,67.95,31,102,282,415
cross country,19.38,38.58,42.04,112,223,243,578
cross keys,9.84,37.7,52.46,12,46,64,122
curtis bay,9.79,30.95,59.26,37,117,224,378
curtis bay industrial area,NA,100,NA,NA,1,NA,1
cylburn,13.85,33.33,52.82,27,65,103,195
darley park,4.65,37.98,57.36,6,49,74,129
dickeyville,6.45,35.48,58.06,2,11,18,31
dolfield,25.27,31.87,42.86,46,58,78,182
dorchester,27.14,43.57,29.29,38,61,41,140
downtown,8.01,17.09,74.89,75,160,701,936
downtown west,15.45,21.95,62.6,19,27,77,123
druid heights,15.62,69.93,14.45,67,300,62,429
druid hill park,6.49,23.06,70.45,219,778,2377,3374
dunbar-broadway,4.85,23.51,71.64,26,126,384,536
east arlington,11.04,24.68,64.29,17,38,99,154
east baltimore midway,9.19,34.28,56.54,52,194,320,566
easterwood,14.29,21.98,63.74,26,40,116,182
eastwood,42.11,36.84,21.05,8,7,4,19
edgewood,10,38.42,51.58,19,73,98,190
edmondson village,3.91,33.1,62.99,11,93,177,281
ednor gardens-lakeside,5.99,25.82,68.19,64,276,729,1069
ellwood park/monument,5,19.42,75.58,43,167,650,860
evergreen,2.81,11.58,85.61,8,33,244,285
evergreen lawn,5.93,28.81,65.25,7,34,77,118
evesham park,13.24,26.84,59.93,36,73,163,272
fairfield area,16.23,35.53,48.25,37,81,110,228
fairmont,23.93,27.61,48.47,39,45,79,163
fallstaff,14.62,27.69,57.69,38,72,150,260
federal hill,4.3,20.7,75,33,159,576,768
fells point,5.14,19.2,75.66,49,183,721,953
forest park,19.65,57.23,23.12,34,99,40,173
forest park golf course,9.8,27.45,62.75,20,56,128,204
four by four,23.81,19.05,57.14,5,4,12,21
frankford,8.83,34.09,57.08,129,498,834,1461
franklin square,8.44,32.34,59.22,54,207,379,640
franklintown,5.57,19.2,75.23,54,186,729,969
franklintown road,9.66,38.62,51.72,14,56,75,145
garwyn oaks,5.91,45.16,48.92,11,84,91,186
gay street,13.11,46.95,39.94,43,154,131,328
glen,17.98,30.82,51.21,119,204,339,662
glen oaks,6.61,23.21,70.18,49,172,520,741
glenham-belhar,10.18,53.44,36.39,40,210,143,393
graceland park,9.67,33.7,56.63,35,122,205,362
greektown,3.35,21.52,75.13,19,122,426,567
greenmount cemetery,10.2,12.24,77.55,5,6,38,49
greenmount west,4.64,18.84,76.52,16,65,264,345
greenspring,26.7,43.98,29.32,51,84,56,191
grove park,18.78,38.97,42.25,40,83,90,213
guilford,4.75,21.94,73.31,102,471,1574,2147
gwynns falls,2.7,19.37,77.93,6,43,173,222
gwynns falls/leakin park,8.72,29.94,61.34,30,103,211,344
hamilton hills,9.15,25.91,64.94,113,320,802,1235
hampden,7.74,22.91,69.35,102,302,914,1318
hanlon-longwood,11.6,48.37,40.03,71,296,245,612
harlem park,11.76,48.28,39.95,144,591,489,1224
harwood,5.75,21.64,72.6,21,79,265,365
hawkins point,6.94,65.28,27.78,10,94,40,144
heritage crossing,6.24,20.03,73.73,38,122,449,609
herring run park,3.53,12.45,84.01,19,67,452,538
highlandtown,4.42,19.82,75.76,29,130,497,656
hillen,16.08,32.17,51.75,23,46,74,143
hoes heights,13.49,33.33,53.17,17,42,67,126
holabird industrial park,6.31,29.5,64.2,40,187,407,634
hollins market,4.75,26.36,68.89,27,150,392,569
homeland,5.76,30.21,64.03,83,435,922,1440
hopkins bayview,5.87,29.58,64.55,24,121,264,409
howard park,14.66,23.71,61.63,191,309,803,1303
hunting ridge,4.96,22.84,72.2,23,106,335,464
idlewood,19.27,25.82,54.91,53,71,151,275
inner harbor,8.42,21.89,69.68,40,104,331,475
irvington,4.77,27.5,67.73,30,173,426,629
johns hopkins homewood,9.01,28.83,62.16,30,96,207,333
johnston square,12.41,29.56,58.03,34,81,159,274
jones falls area,NA,31.82,68.18,NA,7,15,22
jonestown,3.26,19.11,77.62,14,82,333,429
kenilworth park,21.43,46.43,32.14,18,39,27,84
kernewood,14.37,29.89,55.75,25,52,97,174
keswick,5.45,23.18,71.36,12,51,157,220
kresson,20.37,51.85,27.78,11,28,15,54
lake evesham,7.69,25.64,66.67,12,40,104,156
lake walker,5.18,15.21,79.61,16,47,246,309
lakeland,7.36,33.77,58.87,17,78,136,231
langston hughes,50,31.67,18.33,30,19,11,60
lauraville,6.13,22.54,71.33,43,158,500,701
levindale,10.78,27.45,61.76,22,56,126,204
liberty square,11.5,24.78,63.72,13,28,72,113
little italy,3.79,18.18,78.03,5,24,103,132
loch raven,9.73,29.93,60.35,39,120,242,401
locust point,2.92,16.18,80.9,15,83,415,513
locust point industrial area,9.57,11.55,78.88,29,35,239,303
lower edmondson village,15.38,53.85,30.77,4,14,8,26
lower herring run park,5.41,17.34,77.25,24,77,343,444
loyola/notre dame,5.71,34.29,60,2,12,21,35
lucille park,21.43,52.14,26.43,30,73,37,140
madison park,8.57,42.84,48.6,58,290,329,677
madison-eastend,4.88,14.86,80.27,22,67,362,451
mayfield,7.32,24.15,68.54,30,99,281,410
mcelderry park,4.26,21.04,74.7,32,158,561,751
medfield,6.64,20.75,72.61,16,50,175,241
medford,10,46.67,43.33,12,56,52,120
mid-govans,3.91,8.66,87.43,14,31,313,358
mid-town belvedere,7.12,16.83,76.06,74,175,791,1040
middle branch/reedbird parks,6.19,18.43,75.38,85,253,1035,1373
middle east,7.8,19.02,73.17,48,117,450,615
midtown-edmondson,8.3,29.43,62.26,22,78,165,265
millhill,8.84,28.57,62.59,13,42,92,147
milton-montford,2.77,17.65,79.58,8,51,230,289
mondawmin,7.9,21.51,70.59,43,117,384,544
montebello,6.2,25.19,68.6,16,65,177,258
moravia-walther,2.37,17.54,80.09,5,37,169,211
morgan park,14.41,22.52,63.06,16,25,70,111
morgan state university,3.61,17.53,78.87,7,34,153,194
morrell park,10.24,20.84,68.92,56,114,377,547
mosher,4.3,31.72,63.98,8,59,119,186
mount holly,18.18,33.33,48.48,18,33,48,99
mount vernon,8.51,10.12,81.36,90,107,860,1057
mount washington,13.04,30.83,56.12,214,506,921,1641
mount winans,8.82,22.55,68.63,9,23,70,102
mt pleasant park,8.85,29.17,61.98,17,56,119,192
new northwood,7.28,23.62,69.09,37,120,351,508
new southwest/mount clare,4.3,18.23,77.47,17,72,306,395
north harford road,10.92,27.29,61.79,56,140,317,513
north roland park/poplar hill,6.61,18.32,75.08,22,61,250,333
northwest community action,7.83,18.07,74.1,13,30,123,166
o'donnell heights,5.77,21.15,73.08,3,11,38,52
oakenshawe,7.85,35.87,56.28,35,160,251,446
oaklee,12.5,31.25,56.25,2,5,9,16
old goucher,4.89,31.32,63.79,17,109,222,348
oldtown,12.28,33.63,54.09,42,115,185,342
oliver,10.37,25.08,64.55,98,237,610,945
orangeville,15.38,27.81,56.8,26,47,96,169
orangeville industrial area,4.88,17.68,77.44,8,29,127,164
orchard ridge,7.91,27.7,64.39,22,77,179,278
original northwood,4.31,16.92,78.77,14,55,256,325
otterbein,4.55,19.25,76.2,17,72,285,374
overlea,9.5,29.5,61,19,59,122,200
panway/braddish avenue,7.41,32.59,60,10,44,81,135
park circle,14.48,27.35,58.18,54,102,217,373
parklane,13.64,36.93,49.43,24,65,87,176
parkside,7.89,47.37,44.74,3,18,17,38
parkview/woodbrook,7.01,22.29,70.7,33,105,333,471
patterson park,5.33,13.27,81.4,98,244,1497,1839
patterson park neighborhood,2.37,16.11,81.53,26,177,896,1099
patterson place,5.42,27.08,67.5,13,65,162,240
pen lucy,7.08,16.81,76.11,8,19,86,113
penn north,7.2,25.38,67.42,19,67,178,264
penn-fallsway,9.4,21.37,69.23,11,25,81,117
penrose/fayette street outreach,6.75,36.98,56.27,21,115,175,311
perkins homes,16.79,29.93,53.28,23,41,73,137
perring loch,9.94,26.28,63.78,31,82,199,312
pimlico good neighbors,12.23,21.28,66.49,23,40,125,188
pleasant view gardens,8.96,14.93,76.12,6,10,51,67
poppleton,6.12,21.58,72.3,38,134,449,621
port covington,1.75,21.64,76.61,3,37,131,171
pulaski industrial area,10.04,42.57,47.4,54,229,255,538
purnell,NA,42.86,57.14,NA,3,4,7
radnor-winston,12.57,37.7,49.74,24,72,95,191
ramblewood,5.45,25.64,68.91,17,80,215,312
reisterstown station,15.38,18.59,66.03,24,29,103,156
remington,8.18,18.3,73.51,55,123,494,672
reservoir hill,8.8,20.5,70.7,128,298,1028,1454
richnor springs,12.5,37.5,50,1,3,4,8
ridgely's delight,3.39,14.77,81.84,14,61,338,413
riverside,5.97,29.26,64.76,90,441,976,1507
rognel heights,7.99,33.68,58.33,23,97,168,288
roland park,4.54,18.35,77.11,132,534,2244,2910
rosebank,7.27,33.64,59.09,8,37,65,110
rosemont,5.24,32.58,62.17,14,87,166,267
rosemont east,12.03,40.66,47.3,29,98,114,241
rosemont homeowners/tenants,12.31,32.31,55.38,8,21,36,65
sabina-mattfeldt,7.56,29.07,63.37,13,50,109,172
saint agnes,18.6,20.93,60.47,8,9,26,43
saint helena,28.57,28.57,42.86,6,6,9,21
saint josephs,7.83,53.04,39.13,9,61,45,115
saint paul,10,28.57,61.43,7,20,43,70
sandtown-winchester,15.4,63.7,20.91,190,786,258,1234
seton business park,6.25,14.29,79.46,7,16,89,112
seton hill,17.26,23.91,58.84,83,115,283,481
sharp-leadenhall,5.58,21.84,72.57,23,90,299,412
shipley hill,4.79,18.15,77.05,14,53,225,292
south baltimore,5.86,28.42,65.73,27,131,303,461
south clifton park,14.04,29.82,56.14,16,34,64,114
spring garden industrial area,3.45,17.24,79.31,1,5,23,29
stadium area,NA,8.65,91.35,NA,9,95,104
stonewood-pentwood-winston,22.95,39.34,37.7,14,24,23,61
taylor heights,NA,26.67,73.33,NA,4,11,15
ten hills,4.42,27.13,68.45,14,86,217,317
the orchards,5,33.33,61.67,18,120,222,360
towanda-grantley,22.58,29.03,48.39,21,27,45,93
tremont,5.88,31.37,62.75,3,16,32,51
tuscany-canterbury,5.17,20.11,74.71,18,70,260,348
union square,4.52,17.2,78.28,21,80,364,465
university of maryland,5.94,26.93,67.13,30,136,339,505
uplands,1.57,12.6,85.83,6,48,327,381
upper fells point,4.23,18.03,77.75,30,128,552,710
upton,17.78,60.05,22.16,138,466,172,776
violetville,15.36,26.26,58.38,55,94,209,358
wakefield,3.23,22.58,74.19,1,7,23,31
walbrook,10,25.38,64.62,39,99,252,390
waltherson,14.26,39.57,46.17,80,222,259,561
washington hill,7,33.28,59.72,45,214,384,643
washington village/pigtown,3.57,12.21,84.23,38,130,897,1065
waverly,9.73,32.83,57.45,32,108,189,329
west arlington,38.52,33.85,27.63,99,87,71,257
west forest park,20.43,44.09,35.48,57,123,99,279
west hills,6.3,24.02,69.69,16,61,177,254
westfield,10.26,30.21,59.53,35,103,203,341
westgate,6.89,30.58,62.53,25,111,227,363
westport,8.64,34.09,57.27,38,150,252,440
wilhelm park,2.82,28.17,69.01,2,20,49,71
wilson park,15.71,34.29,50,11,24,35,70
winchester,9.88,32.1,58.02,8,26,47,81
windsor hills,10.81,37.84,51.35,24,84,114,222
winston-govans,18.37,34.69,46.94,9,17,23,49
woodberry,3.99,13.77,82.25,11,38,227,276
woodbourne heights,4.91,20.35,74.74,14,58,213,285
woodbourne-mccabe,17.95,46.15,35.9,7,18,14,39
woodmere,17.22,50.99,31.79,26,77,48,151
wrenlane,NA,33.33,66.67,NA,4,8,12
wyman park,7.48,21.46,71.06,38,109,361,508
wyndhurst,1.23,10.9,87.87,7,62,500,569
yale heights,9.88,34.88,55.23,17,60,95,172
york-homeland,7.69,30.77,61.54,1,4,8,13
NA,25,50,25,1,2,1,4
