nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
oliver,18467,12.1,8718.7,5.71,31.98,4.85,1.11,6.42,15.53,39.97,0.13,NA,18467,12.1,8718.7,5.71,13.57,6.16,1.42,8.16,19.73,50.79,0.17,NA
orangeville,3908,14.06,1906.8,6.86,35.61,1.8,1.8,9.35,16.91,34.53,NA,NA,3908,14.06,1906.8,6.86,26.34,2.06,2.06,10.7,19.34,39.51,NA,NA
orangeville industrial area,3038,14.33,1155.3,5.45,14.62,6.13,1.89,3.77,13.68,59.91,NA,NA,3038,14.33,1155.3,5.45,6.22,6.74,2.07,4.15,15.03,65.8,NA,NA
orchard ridge,5397,12.58,1555.9,3.63,32.4,0.93,1.86,5.13,17.95,41.72,NA,NA,5397,12.58,1555.9,3.63,31.6,0.94,1.89,5.19,18.16,42.22,NA,NA
original northwood,11121,28.3,5304.8,13.5,9.92,4.83,2.54,3.56,13.99,65.14,NA,NA,11121,28.3,5304.8,13.5,9.92,4.83,2.54,3.56,13.99,65.14,NA,NA
otterbein,9989,19.21,3795.8,7.3,22.88,2.5,2.69,3.27,13.85,54.81,NA,NA,9989,19.21,3795.8,7.3,6.31,3.04,3.27,3.97,16.82,66.59,NA,NA
overlea,8035,27.8,3828.1,13.25,24.22,5.88,0.69,6.57,20.42,42.21,NA,NA,8035,27.8,3828.1,13.25,23.96,5.9,0.69,6.6,20.49,42.36,NA,NA
panway/braddish avenue,4439,14.85,2731.3,9.13,51.17,3.34,0.33,3.34,14.72,27.09,NA,NA,4439,14.85,2731.3,9.13,50.68,3.38,0.34,3.38,14.86,27.36,NA,NA
park circle,11663,14.1,5963.6,7.21,51.15,3.02,0.73,6.53,12.33,26.24,NA,NA,11663,14.1,5963.6,7.21,46.56,3.31,0.79,7.14,13.49,28.7,NA,NA
parklane,8358,30.28,3387.1,12.27,23.91,3.26,9.06,8.7,23.55,31.52,NA,NA,8358,30.28,3387.1,12.27,22.51,3.32,9.23,8.86,23.99,32.1,NA,NA
parkside,508,2.34,207.5,0.96,80.18,0.92,1.38,1.38,8.29,7.83,NA,NA,508,2.34,207.5,0.96,79.91,0.93,1.4,1.4,8.41,7.94,NA,NA
parkview/woodbrook,10686,15.88,5307.5,7.89,26.45,1.93,1.34,4.9,15.6,49.48,0.3,NA,10686,15.88,5307.5,7.89,13.61,2.27,1.57,5.76,18.32,58.12,0.35,NA
patterson park,47470,23.49,26134.3,12.93,4.65,2.18,2.13,4.85,12.07,74.07,0.05,NA,47470,23.49,26134.3,12.93,3.46,2.2,2.15,4.91,12.22,75,0.05,NA
patterson park neighborhood,18074,13.7,6246.8,4.74,14.63,0.76,1.21,1.97,13.42,67.93,0.08,NA,18074,13.7,6246.8,4.74,4.17,0.85,1.36,2.21,15.06,76.26,0.09,NA
patterson place,4755,17.35,1597,5.83,10.58,0.73,1.09,4.74,23.72,59.12,NA,NA,4755,17.35,1597,5.83,4.67,0.78,1.17,5.06,25.29,63.04,NA,NA
pen lucy,2528,9.13,1346.41,4.86,55.6,2.53,1.08,2.89,6.86,31.05,NA,NA,2528,9.13,1346.41,4.86,49.17,2.89,1.24,3.31,7.85,35.54,NA,NA
penn north,5853,11.75,2768.2,5.56,42.97,3.41,0.4,3.82,13.45,35.74,0.2,NA,5853,11.75,2768.2,5.56,12.88,5.21,0.61,5.83,20.55,54.6,0.31,NA
penn-fallsway,2308,5.53,1325.295,3.18,69.3,1.92,0.72,2.64,6,19.42,NA,NA,2308,5.53,1325.295,3.18,18.47,5.1,1.91,7.01,15.92,51.59,NA,NA
penrose/fayette street outreach,8181,10.48,3373.6,4.32,57.36,1.02,1.28,2.69,14.72,22.41,0.51,NA,8181,10.48,3373.6,4.32,29.6,1.69,2.11,4.44,24.31,37,0.85,NA
perkins homes,2774,14.45,1217.5,6.34,20.31,3.12,4.69,11.98,21.35,38.02,0.52,NA,2774,14.45,1217.5,6.34,15.47,3.31,4.97,12.71,22.65,40.33,0.55,NA
perring loch,10020,11.44,6108.9,6.97,61.3,2.28,0.68,3.54,9.36,22.72,NA,0.11,10020,11.44,6108.9,6.97,61.3,2.28,0.68,3.54,9.36,22.72,NA,0.11
pimlico good neighbors,4973,18.49,2168.3,8.06,27.51,1.49,1.12,8.55,14.87,46.47,NA,NA,4973,18.49,2168.3,8.06,24.12,1.56,1.17,8.95,15.56,48.64,NA,NA
pleasant view gardens,1175,7.63,518.2,3.36,51.95,3.25,0.65,3.9,6.49,33.12,0.65,NA,1175,7.63,518.2,3.36,26,5,1,6,10,51,1,NA
poppleton,16427,15.44,5631.5,5.29,39.94,0.75,0.94,3.57,12.59,42.2,NA,NA,16427,15.44,5631.5,5.29,9.36,1.13,1.42,5.39,19.01,63.69,NA,NA
port covington,2361,12.43,1151.6,6.06,4.21,4.21,1.05,1.58,19.47,68.95,0.53,NA,2361,12.43,1151.6,6.06,2.15,4.3,1.08,1.61,19.89,70.43,0.54,NA
pulaski industrial area,12161,11.45,5428.7,5.11,46.89,0.94,1.41,5.08,21.56,24.01,0.09,NA,12161,11.45,5428.7,5.11,40.13,1.06,1.59,5.73,24.31,27.07,0.11,NA
purnell,249,31.12,70,8.75,12.5,NA,NA,NA,37.5,50,NA,NA,249,31.12,70,8.75,12.5,NA,NA,NA,37.5,50,NA,NA
radnor-winston,5296,21.18,2932.5,11.73,16.8,4.8,2,9.6,28.8,38,NA,NA,5296,21.18,2932.5,11.73,16.8,4.8,2,9.6,28.8,38,NA,NA
ramblewood,8131,12.21,5406.8,8.12,47.3,5.41,0.3,2.55,12.01,32.28,0.15,NA,8131,12.21,5406.8,8.12,47.06,5.43,0.3,2.56,12.07,32.43,0.15,NA
reisterstown station,5683,17.98,2564.7,8.12,46.84,3.16,0.63,7.59,9.18,32.59,NA,NA,5683,17.98,2564.7,8.12,44.19,3.32,0.66,7.97,9.63,34.22,NA,NA
remington,19750,18.46,7162.3,6.69,34.49,1.68,0.84,5.14,11.5,46.17,0.19,NA,19750,18.46,7162.3,6.69,13.99,2.21,1.1,6.75,15.09,60.61,0.25,NA
reservoir hill,32941,19.37,14646.8,8.61,9.99,3,1.41,7.52,17.52,60.44,0.12,NA,32941,19.37,14646.8,8.61,4.43,3.18,1.5,7.99,18.6,64.17,0.12,NA
richnor springs,197,11.59,150.4,8.85,52.94,NA,NA,5.88,17.65,23.53,NA,NA,197,11.59,150.4,8.85,52.94,NA,NA,5.88,17.65,23.53,NA,NA
ridgely's delight,11294,23.73,4978.85,10.46,9.45,2.94,0.42,2.94,12.82,71.01,0.42,NA,11294,23.73,4978.85,10.46,2.71,3.16,0.45,3.16,13.77,76.3,0.45,NA
riverside,35346,16.61,15275.15,7.18,25.56,1.97,1.64,4.23,20.72,45.86,NA,NA,35346,16.61,15275.15,7.18,5.38,2.51,2.09,5.38,26.34,58.3,NA,NA
rognel heights,8809,15.79,5316.6,9.53,41.76,4.3,1.25,4.12,17.38,30.11,1.08,NA,8809,15.79,5316.6,9.53,41.02,4.36,1.27,4.17,17.6,30.49,1.09,NA
roland park,104372,30.86,45871.73,13.56,7.36,3.55,2.96,3.9,15.79,66.35,0.03,0.06,104372,30.86,45871.73,13.56,7.01,3.56,2.97,3.92,15.85,66.61,0.03,0.06
rosebank,3000,20.55,1680.8,11.51,21.92,2.05,0.68,5.48,25.34,44.52,NA,NA,3000,20.55,1680.8,11.51,4.2,2.52,0.84,6.72,31.09,54.62,NA,NA
rosemont,11558,16.12,5927.8,8.27,59.14,2.51,1.12,1.95,12.13,23.15,NA,NA,11558,16.12,5927.8,8.27,56.4,2.68,1.19,2.08,12.95,24.7,NA,NA
rosemont east,10993,25.57,5260.7,12.23,37.44,1.86,3.49,6.74,22.79,26.51,1.16,NA,10993,25.57,5260.7,12.23,36.85,1.88,3.52,6.81,23,26.76,1.17,NA
rosemont homeowners/tenants,1655,5.91,855.5,3.06,75.36,1.07,NA,2.86,7.5,12.86,0.36,NA,1655,5.91,855.5,3.06,50.71,2.14,NA,5.71,15,25.71,0.71,NA
sabina-mattfeldt,5435,28.16,2217.63,11.49,6.22,1.04,3.63,6.74,25.91,56.48,NA,NA,5435,28.16,2217.63,11.49,6.22,1.04,3.63,6.74,25.91,56.48,NA,NA
saint agnes,2373,36.51,1033.8,15.9,10.77,7.69,15.38,12.31,13.85,40,NA,NA,2373,36.51,1033.8,15.9,4.92,8.2,16.39,13.11,14.75,42.62,NA,NA
saint helena,678,9.55,369.6,5.21,64.79,2.82,2.82,8.45,8.45,12.68,NA,NA,678,9.55,369.6,5.21,64.79,2.82,2.82,8.45,8.45,12.68,NA,NA
saint josephs,3454,7.73,1838.6,4.11,71.81,1.57,0.67,2.01,13.65,10.07,0.22,NA,3454,7.73,1838.6,4.11,67.77,1.79,0.77,2.3,15.6,11.51,0.26,NA
saint paul,1015,13.53,334.6,4.46,6.67,NA,NA,9.33,26.67,57.33,NA,NA,1015,13.53,334.6,4.46,5.41,NA,NA,9.46,27.03,58.11,NA,NA
sandtown-winchester,27585,12.18,11649.8,5.15,41.12,2.56,1.19,8.39,34.72,11.4,0.62,NA,27585,12.18,11649.8,5.15,13.1,3.78,1.76,12.39,51.24,16.82,0.91,NA
seton business park,3869,29.31,1631.1,12.36,13.64,NA,1.52,5.3,12.12,67.42,NA,NA,3869,29.31,1631.1,12.36,13.64,NA,1.52,5.3,12.12,67.42,NA,NA
seton hill,13908,22.32,6861.4,11.01,18.3,3.21,0.96,13.32,18.46,45.43,0.32,NA,13908,22.32,6861.4,11.01,9.91,3.54,1.06,14.69,20.35,50.09,0.35,NA
sharp-leadenhall,9048,17.74,3444.8,6.75,15.29,1.76,2.16,4.51,17.65,58.63,NA,NA,9048,17.74,3444.8,6.75,5.05,1.98,2.42,5.05,19.78,65.71,NA,NA
shipley hill,6274,11.37,2056.8,3.73,44.02,0.91,1.99,2.54,9.6,40.76,0.18,NA,6274,11.37,2056.8,3.73,12.71,1.41,3.11,3.95,14.97,63.56,0.28,NA
south baltimore,10014,12.33,3492.5,4.3,39.04,2.34,1.85,3.33,16.13,37.32,NA,NA,10014,12.33,3492.5,4.3,7.82,3.54,2.79,5.03,24.39,56.42,NA,NA
south clifton park,2809,10.64,1226.8,4.65,54.55,1.52,0.76,6.06,12.88,24.24,NA,NA,2809,10.64,1226.8,4.65,29.82,2.34,1.17,9.36,19.88,37.43,NA,NA
spring garden industrial area,718,13.81,251.4,4.83,38.46,1.92,3.85,1.92,9.62,44.23,NA,NA,718,13.81,251.4,4.83,13.51,2.7,5.41,2.7,13.51,62.16,NA,NA
stadium area,2628,19.61,1059.5,7.91,20.15,NA,2.24,NA,6.72,70.9,NA,NA,2628,19.61,1059.5,7.91,17.05,NA,2.33,NA,6.98,73.64,NA,NA
stonewood-pentwood-winston,2375,16.61,1731.5,12.11,45.45,6.99,4.9,9.79,16.78,16.08,NA,NA,2375,16.61,1731.5,12.11,43.88,7.19,5.04,10.07,17.27,16.55,NA,NA
taylor heights,460,28.75,169.7,10.61,NA,NA,6.25,NA,25,68.75,NA,NA,460,28.75,169.7,10.61,NA,NA,6.25,NA,25,68.75,NA,NA
ten hills,12737,20.35,6054.9,9.67,42.81,5.11,1.28,2.24,13.74,34.66,0.16,NA,12737,20.35,6054.9,9.67,42.81,5.11,1.28,2.24,13.74,34.66,0.16,NA
the orchards,9466,20.76,5348.7,11.73,19.52,1.32,0.22,3.95,26.32,48.68,NA,NA,9466,20.76,5348.7,11.73,19.52,1.32,0.22,3.95,26.32,48.68,NA,NA
towanda-grantley,3252,12.18,1951.4,7.31,61.8,3,0.37,7.87,10.11,16.85,NA,NA,3252,12.18,1951.4,7.31,54.5,3.6,0.45,9.46,11.71,20.27,NA,NA
tremont,1979,16.09,954.3,7.76,52.85,5.69,NA,2.44,13.01,26.02,NA,NA,1979,16.09,954.3,7.76,49.57,6.09,NA,2.61,13.91,27.83,NA,NA
tuscany-canterbury,10197,22.22,4681.1,10.2,20.7,2.61,0.87,3.92,15.25,56.64,NA,NA,10197,22.22,4681.1,10.2,14.55,2.82,0.94,4.23,16.43,61.03,NA,NA
union square,12000,21.24,4435.5,7.85,12.04,3.54,1.77,3.72,14.16,64.42,0.35,NA,12000,21.24,4435.5,7.85,8.13,3.7,1.85,3.88,14.79,67.28,0.37,NA
university of maryland,12357,18.61,4285.6,6.45,20.93,2.11,0.9,4.52,20.48,51.05,NA,NA,12357,18.61,4285.6,6.45,3.49,2.57,1.1,5.51,25,62.32,NA,NA
uplands,8195,18.46,2236.26,5.04,10.59,2.25,1.13,1.35,10.81,73.65,0.23,NA,8195,18.46,2236.26,5.04,9.15,2.29,1.14,1.37,10.98,74.83,0.23,NA
upper fells point,18826,20.73,6918.6,7.62,18.28,2.64,0.55,3.3,14.1,60.79,0.33,NA,18826,20.73,6918.6,7.62,4.26,3.1,0.65,3.87,16.52,71.23,0.39,NA
upton,19887,12.65,9076.8,5.77,47.39,1.78,1.4,8.78,29.64,10.94,0.06,NA,19887,12.65,9076.8,5.77,19.24,2.73,2.15,13.48,45.51,16.8,0.1,NA
violetville,13369,19.02,6694.8,9.52,41.68,4.27,2.7,7.82,13.37,29.73,0.43,NA,13369,19.02,6694.8,9.52,41.68,4.27,2.7,7.82,13.37,29.73,0.43,NA
wakefield,981,30.66,371.1,11.6,3.12,NA,NA,3.12,21.88,71.88,NA,NA,981,30.66,371.1,11.6,3.12,NA,NA,3.12,21.88,71.88,NA,NA
walbrook,10137,11.62,5764.5,6.61,51.38,3.56,0.23,4.47,11.35,28.9,0.11,NA,10137,11.62,5764.5,6.61,49.04,3.73,0.24,4.69,11.9,30.29,0.12,NA
waltherson,17393,13.03,9602.94333,7.19,53.93,2.7,1.12,5.99,16.63,19.4,0.22,NA,17393,13.03,9602.94333,7.19,51.46,2.84,1.18,6.31,17.52,20.44,0.24,NA
washington hill,16106,15.79,6792.85,6.66,33.24,1.96,1.67,4.41,20.98,37.65,0.1,NA,16106,15.79,6792.85,6.66,6.07,2.76,2.34,6.21,29.52,52.97,0.14,NA
washington village/pigtown,22541,14.28,9030,5.72,26.22,3.17,3.1,2.41,8.23,56.81,0.06,NA,22541,14.28,9030,5.72,10.04,3.86,3.78,2.93,10.04,69.27,0.08,NA
waverly,9440,16.68,4958.3,8.76,37.81,3.36,0.35,5.65,19.08,33.39,0.35,NA,9440,16.68,4958.3,8.76,34.94,3.51,0.37,5.91,19.96,34.94,0.37,NA
west arlington,12181,11.63,5809.6845,5.55,73.73,1.15,0.57,9.46,8.31,6.78,NA,NA,12181,11.63,5809.6845,5.55,73.43,1.16,0.58,9.57,8.41,6.86,NA,NA
west forest park,10949,18.01,5933.4,9.76,47.53,4.11,2.47,9.38,20.23,16.28,NA,NA,10949,18.01,5933.4,9.76,46.48,4.19,2.52,9.56,20.64,16.61,NA,NA
west hills,9385,20.23,4454.7,9.6,39.44,3.66,2.16,3.45,13.15,38.15,NA,NA,9385,20.23,4454.7,9.6,38.51,3.72,2.19,3.5,13.35,38.73,NA,NA
westfield,9889,10.37,4800.5,5.03,62.05,0.94,1.05,3.67,10.8,21.28,0.21,NA,9889,10.37,4800.5,5.03,60.04,0.99,1.1,3.86,11.37,22.41,0.22,NA
westgate,16986,27.4,7924.6,12.78,36.29,3.55,1.61,4.03,17.9,36.61,NA,NA,16986,27.4,7924.6,12.78,34.71,3.64,1.65,4.13,18.35,37.52,NA,NA
westport,8929,13.63,4869.905,7.43,25.5,1.68,5.65,5.8,22.9,38.47,NA,NA,8929,13.63,4869.905,7.43,18.53,1.84,6.18,6.34,25.04,42.07,NA,NA
wilhelm park,2188,21.88,1117.6,11.18,24,2,NA,2,20,49,3,NA,2188,21.88,1117.6,11.18,22.45,2.04,NA,2.04,20.41,50,3.06,NA
wilson park,1473,14.44,953.1,9.34,24.51,5.88,0.98,10.78,23.53,34.31,NA,NA,1473,14.44,953.1,9.34,10.47,6.98,1.16,12.79,27.91,40.7,NA,NA
winchester,3042,12.12,1626.4,6.48,65.74,1.2,0.8,3.19,10.36,18.73,NA,NA,3042,12.12,1626.4,6.48,56.12,1.53,1.02,4.08,13.27,23.98,NA,NA
windsor hills,8350,15.27,4477.8,8.19,53.75,4.39,1.1,4.39,15.36,20.84,0.18,NA,8350,15.27,4477.8,8.19,53.58,4.4,1.1,4.4,15.41,20.92,0.18,NA
winston-govans,1106,6.83,797.7,4.92,68.52,1.23,NA,5.56,10.49,14.2,NA,NA,1106,6.83,797.7,4.92,68.32,1.24,NA,5.59,10.56,14.29,NA,NA
woodberry,6845,19.96,3029.7,8.83,16.33,1.46,1.17,3.21,11.08,66.18,0.58,NA,6845,19.96,3029.7,8.83,9.18,1.58,1.27,3.48,12.03,71.84,0.63,NA
woodbourne heights,6213,11,3738.5,6.62,43.54,4.6,1.24,2.48,10.27,37.7,0.18,NA,6213,11,3738.5,6.62,43.24,4.63,1.25,2.49,10.32,37.9,0.18,NA
woodbourne-mccabe,910,10,839.7,9.23,46.15,8.79,1.1,7.69,19.78,15.38,1.1,NA,910,10,839.7,9.23,40.24,9.76,1.22,8.54,21.95,17.07,1.22,NA
woodmere,4979,9.65,2655.1,5.15,67.44,3.1,0.19,5.04,14.92,9.3,NA,NA,4979,9.65,2655.1,5.15,63.16,3.51,0.22,5.7,16.89,10.53,NA,NA
wrenlane,252,9.69,219.3,8.43,42.31,11.54,NA,NA,15.38,30.77,NA,NA,252,9.69,219.3,8.43,34.78,13.04,NA,NA,17.39,34.78,NA,NA
wyman park,13883,22.87,6451.42,10.63,14,0.82,1.32,6.26,17.96,59.47,0.16,NA,13883,22.87,6451.42,10.63,9.38,0.87,1.39,6.6,18.92,62.67,0.17,NA
wyndhurst,15435,22.18,7223.9,10.38,12.07,5.32,0.86,1.01,8.91,71.84,NA,NA,15435,22.18,7223.9,10.38,7.97,5.56,0.9,1.05,9.32,75.19,NA,NA
yale heights,6541,12.9,3732.3,7.36,63.12,2.17,0.79,3.35,11.83,18.74,NA,NA,6541,12.9,3732.3,7.36,63.12,2.17,0.79,3.35,11.83,18.74,NA,NA
york-homeland,243,17.36,96.2,6.87,7.14,NA,NA,7.14,28.57,57.14,NA,NA,243,17.36,96.2,6.87,NA,NA,NA,7.69,30.77,61.54,NA,NA
